onset	duration	trial_type	response_time	sample	value
1.4160156250	n/a	UncuedWalking	n/a	725.0000000000	100
2.0156250000	n/a	UncuedWalking	n/a	1032.0000000000	200
2.5976562500	n/a	UncuedWalking	n/a	1330.0000000000	100
3.1816406250	n/a	UncuedWalking	n/a	1629.0000000000	200
3.7675781250	n/a	UncuedWalking	n/a	1929.0000000000	100
4.3535156250	n/a	UncuedWalking	n/a	2229.0000000000	200
4.9570312500	n/a	UncuedWalking	n/a	2538.0000000000	100
5.5585937500	n/a	UncuedWalking	n/a	2846.0000000000	200
6.1562500000	n/a	UncuedWalking	n/a	3152.0000000000	100
6.7402343750	n/a	UncuedWalking	n/a	3451.0000000000	200
7.3144531250	n/a	UncuedWalking	n/a	3745.0000000000	100
7.8945312500	n/a	UncuedWalking	n/a	4042.0000000000	200
8.4882812500	n/a	UncuedWalking	n/a	4346.0000000000	100
9.0878906250	n/a	UncuedWalking	n/a	4653.0000000000	200
9.6796875000	n/a	UncuedWalking	n/a	4956.0000000000	100
10.2871093750	n/a	UncuedWalking	n/a	5267.0000000000	200
10.8671875000	n/a	UncuedWalking	n/a	5564.0000000000	100
11.4609375000	n/a	UncuedWalking	n/a	5868.0000000000	200
12.0371093750	n/a	UncuedWalking	n/a	6163.0000000000	100
12.6093750000	n/a	UncuedWalking	n/a	6456.0000000000	200
13.1992187500	n/a	UncuedWalking	n/a	6758.0000000000	100
13.7832031250	n/a	UncuedWalking	n/a	7057.0000000000	200
14.3574218750	n/a	UncuedWalking	n/a	7351.0000000000	100
14.9550781250	n/a	UncuedWalking	n/a	7657.0000000000	200
15.5488281250	n/a	UncuedWalking	n/a	7961.0000000000	100
16.1406250000	n/a	UncuedWalking	n/a	8264.0000000000	200
16.7109375000	n/a	UncuedWalking	n/a	8556.0000000000	100
17.3046875000	n/a	UncuedWalking	n/a	8860.0000000000	200
17.8574218750	n/a	UncuedWalking	n/a	9143.0000000000	100
18.4355468750	n/a	UncuedWalking	n/a	9439.0000000000	200
18.9960937500	n/a	UncuedWalking	n/a	9726.0000000000	100
19.5957031250	n/a	UncuedWalking	n/a	10033.0000000000	200
20.1679687500	n/a	UncuedWalking	n/a	10326.0000000000	100
